,hvss0,hvss1,hvss2,hvss3,hvss4,hvss5,hvss6,hvss7,hvss8
0,0.543,1.6,2.3,3.0,3.7,4.382,5.1,5.8,6.5
1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
3,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
4,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
7,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
8,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
9,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
10,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
11,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
12,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
13,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
14,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
15,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
16,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05
17,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
18,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15
19,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
20,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25
21,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
22,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
23,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
24,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.45
25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
26,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55,2.55
27,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
28,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65
29,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
30,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75
31,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
32,2.827,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85
33,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86,2.86
34,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87,2.87
35,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88,2.88
36,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89,2.89
37,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
38,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91,2.91
39,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92
40,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93
41,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94,2.94
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
